OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O1,1675000,485000,35,49,SUZUKI,LUNAS
O1,1368600,392000,35,38,SUZUKI,LUNAS
O3,3880000,312000,18,50,HONDA,LUNAS
O3,1594000,441000,36,52,KAWASAKI,TARIKAN
O3,1982000,476000,35,50,SUZUKI,LUNAS
O2,917200,624000,23,31,SUZUKI,LUNAS
O3,1890000,285000,36,50,SUZUKI,LUNAS
O2,1252500,383000,35,36,SUZUKI,LUNAS
O5,15316500,632000,23,40,KAWASAKI,LUNAS
O2,1208550,400000,36,32,SUZUKI,LUNAS
O1,840400,502000,23,58,SUZUKI,TARIKAN
O2,3413700,450000,35,54,KAWASAKI,LUNAS
O3,1720000,389000,35,54,SUZUKI,TARIKAN
O3,1695500,389000,35,39,SUZUKI,TARIKAN
O3,1748000,400000,36,49,SUZUKI,LUNAS
O3,3000000,475000,24,43,SUZUKI,LUNAS
O3,1739000,427000,36,40,KAWASAKI,LUNAS
O3,1698848,507000,35,53,KAWASAKI,TARIKAN
O1,2046300,389000,35,62,SUZUKI,LUNAS
O2,3184221,534000,24,48,HONDA,LUNAS
O3,1727000,458000,30,29,KAWASAKI,TARIKAN
O1,1614100,392000,35,55,SUZUKI,LUNAS
O2,978800,435000,29,34,SUZUKI,LUNAS
O3,4660000,1224000,11,43,SUZUKI,LUNAS
O3,2760000,303000,36,40,SUZUKI,LUNAS
O2,875500,476000,35,32,SUZUKI,LUNAS
O3,3587120,392000,35,41,SUZUKI,TARIKAN
O2,1176000,392000,35,39,SUZUKI,LUNAS
O3,2215000,392000,35,51,SUZUKI,LUNAS
O2,861964,468000,36,28,HONDA,LUNAS
O3,1530000,499000,30,37,SUZUKI,LUNAS
O3,4010000,379000,36,40,SUZUKI,LUNAS
O3,1720144,563000,29,48,KAWASAKI,LUNAS
O2,2150000,475000,36,38,KAWASAKI,LUNAS
O2,1215400,374000,36,55,SUZUKI,LUNAS
O3,1750000,270000,30,35,SUZUKI,LUNAS
O3,1511710,413000,36,56,SUZUKI,LUNAS
O3,1500000,464000,35,35,KAWASAKI,LUNAS
O2,3045750,624000,23,45,SUZUKI,LUNAS
O3,1281000,404000,36,57,SUZUKI,LUNAS
O3,1508750,488000,18,41,HONDA,LUNAS
O3,1478000,435000,36,44,HONDA,LUNAS
