OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O2,992000,452000,36,36,SUZUKI,LUNAS
O3,2656000,791000,17,56,SUZUKI,LUNAS
O3,1328040,392000,35,45,SUZUKI,LUNAS
O3,2087500,496000,35,55,SUZUKI,LUNAS
O1,1392400,327000,24,61,SUZUKI,LUNAS
O2,1343200,375000,36,37,SUZUKI,LUNAS
O3,1740000,480000,35,34,SUZUKI,LUNAS
O2,5265000,404000,30,27,SUZUKI,LUNAS
O2,1803500,498000,35,51,SUZUKI,LUNAS
O3,2477750,313000,24,40,HONDA,LUNAS
O2,705675,470000,35,34,SUZUKI,LUNAS
O2,1188300,379000,35,40,SUZUKI,LUNAS
O2,1750000,331000,36,29,SUZUKI,LUNAS
O2,6687500,494000,35,40,KAWASAKI,LUNAS
O2,814500,450000,30,53,SUZUKI,LUNAS
O3,1076000,354000,36,43,SUZUKI,LUNAS
O3,2059200,445000,36,35,SUZUKI,LUNAS
O2,1507000,506000,30,33,SUZUKI,LUNAS
O1,1500000,457000,36,44,KAWASAKI,LUNAS
O3,1130616,348000,36,53,SUZUKI,LUNAS
O3,1301280,399000,36,40,KAWASAKI,LUNAS
O3,2024000,517000,35,55,SUZUKI,LUNAS
O2,766712,511000,24,34,HONDA,LUNAS
O3,1722875,375000,35,45,SUZUKI,LUNAS
O4,7391900,512000,35,49,HONDA,LUNAS
O3,1635000,389000,35,36,SUZUKI,LUNAS
O2,2819000,498000,35,34,SUZUKI,LUNAS
O2,1098414,359000,36,40,YAMAHA,LUNAS
O3,2385000,626000,23,28,SUZUKI,LUNAS
O2,1145154,500000,35,32,SUZUKI,LUNAS
O3,1152675,379000,36,27,SUZUKI,LUNAS
O2,1236750,392000,35,26,SUZUKI,LUNAS
O3,1408000,423000,36,49,SUZUKI,LUNAS
O2,906500,423000,36,36,SUZUKI,LUNAS
O2,1417813,480000,35,56,SUZUKI,LUNAS
O2,6600000,449000,36,62,SUZUKI,LUNAS
O2,2222650,480000,35,37,SUZUKI,LUNAS
O3,1907500,277000,30,51,SUZUKI,LUNAS
O2,1944000,392000,35,38,SUZUKI,LUNAS
O3,1832000,458000,36,32,SUZUKI,TARIKAN
O3,2152500,527000,12,39,SUZUKI,LUNAS
O2,1600000,499000,35,36,KAWASAKI,TARIKAN
O3,1207120,389000,35,52,SUZUKI,LUNAS
O3,2079000,436000,36,31,SUZUKI,LUNAS
O3,1640000,445000,36,42,SUZUKI,LUNAS
O4,7742000,493000,35,43,SUZUKI,LUNAS
O2,1264000,300000,36,34,SUZUKI,LUNAS
O1,1406500,489000,35,44,SUZUKI,LUNAS
O2,2169675,656000,17,44,SUZUKI,LUNAS
O3,1438330,310000,36,56,SUZUKI,LUNAS
O1,2391100,524000,24,48,SUZUKI,LUNAS
O1,1446380,485000,35,56,SUZUKI,LUNAS
O3,1968000,247000,36,33,SUZUKI,LUNAS
O3,1824000,475000,36,43,KAWASAKI,LUNAS
O3,1704400,335000,36,46,SUZUKI,LUNAS
O3,1335100,392000,36,47,SUZUKI,LUNAS
O3,2052400,539000,24,28,KAWASAKI,LUNAS
O1,1060200,362000,36,58,HONDA,LUNAS
O3,4140800,654000,23,47,SUZUKI,LUNAS
O3,1392000,223000,36,52,SUZUKI,LUNAS
O3,1401000,354000,36,49,SUZUKI,LUNAS
O2,1283000,387000,24,38,SUZUKI,LUNAS
O2,1401650,423000,36,32,SUZUKI,LUNAS
O2,2050000,656000,17,50,SUZUKI,LUNAS
O3,1253300,368000,30,38,SUZUKI,LUNAS
O2,1136730,354000,36,31,SUZUKI,LUNAS
O2,3362450,650000,23,48,SUZUKI,LUNAS
O3,1878800,591000,24,44,SUZUKI,LUNAS
O3,1372000,341000,36,35,SUZUKI,LUNAS
O2,1500000,335000,36,44,SUZUKI,LUNAS
O2,936405,304000,36,33,KAWASAKI,LUNAS
O2,1685791,498000,35,32,SUZUKI,LUNAS
O3,914000,293000,36,41,SUZUKI,LUNAS
O3,1965000,432000,36,43,SUZUKI,LUNAS
O3,1976800,494000,35,53,KAWASAKI,LUNAS
O2,2220050,354000,36,38,SUZUKI,LUNAS
O3,1740000,461000,36,49,SUZUKI,LUNAS
O3,1332640,411000,24,46,SUZUKI,LUNAS
O3,2170500,470000,35,46,SUZUKI,LUNAS
O3,1172550,389000,35,41,SUZUKI,LUNAS
O2,1545668,467000,35,29,SUZUKI,LUNAS
O3,2010000,650000,23,49,SUZUKI,LUNAS
O3,1210000,370000,36,56,SUZUKI,LUNAS
O3,2282500,732000,18,43,SUZUKI,LUNAS
O3,1897250,516000,23,53,SUZUKI,LUNAS
O2,1337200,375000,36,37,SUZUKI,LUNAS
O3,1215000,393000,35,27,SUZUKI,LUNAS
O2,1627380,458000,36,42,SUZUKI,LUNAS
O4,6400000,1117000,11,40,KAWASAKI,LUNAS
O3,1461200,452000,30,61,HONDA,LUNAS
O3,1823200,507000,35,32,SUZUKI,LUNAS
O3,2370000,491000,36,33,SUZUKI,LUNAS
O3,3680000,560000,29,37,SUZUKI,LUNAS
O2,1532120,502000,35,55,SUZUKI,LUNAS
O3,1427000,471000,35,60,SUZUKI,LUNAS
O2,1429710,485000,24,50,SUZUKI,LUNAS
O3,1660000,499000,35,37,KAWASAKI,TARIKAN
O2,1273500,375000,35,37,SUZUKI,LUNAS
O3,1222000,295000,36,40,SUZUKI,LUNAS
O3,1896000,500000,35,46,SUZUKI,LUNAS
O2,1805000,397000,35,38,SUZUKI,TARIKAN
O2,1206284,560000,29,32,SUZUKI,LUNAS
O2,2815000,560000,29,41,SUZUKI,LUNAS
O3,1212864,349000,36,39,SUZUKI,LUNAS
O3,1148000,392000,35,36,SUZUKI,LUNAS
O3,1257680,402000,35,38,SUZUKI,LUNAS
O3,1188500,389000,35,42,SUZUKI,LUNAS
O2,1453800,467000,35,33,SUZUKI,LUNAS
O2,1104188,423000,36,31,SUZUKI,LUNAS
O2,2343500,423000,36,45,SUZUKI,LUNAS
O3,1361920,335000,36,54,SUZUKI,LUNAS
O2,4557250,389000,35,29,SUZUKI,LUNAS
O2,1521050,392000,30,39,SUZUKI,LUNAS
O3,1797200,436000,36,56,SUZUKI,LUNAS
O3,1229200,379000,36,38,SUZUKI,LUNAS
O3,1728300,502000,35,36,SUZUKI,LUNAS
O3,1363680,436000,36,34,SUZUKI,LUNAS
O2,1496589,452000,30,44,SUZUKI,LUNAS
O3,939166,323000,36,37,SUZUKI,LUNAS
O3,1655000,367000,36,44,SUZUKI,LUNAS
O3,2750000,527000,23,40,SUZUKI,LUNAS
O3,1150590,371000,36,45,SUZUKI,LUNAS
O3,2669000,805000,17,49,SUZUKI,LUNAS
O3,1880000,396000,36,58,SUZUKI,LUNAS
O3,1240000,389000,36,29,SUZUKI,LUNAS
O3,1727680,542000,36,51,HONDA,LUNAS
O3,1256000,389000,35,48,SUZUKI,TARIKAN
O2,1114070,380000,36,37,SUZUKI,LUNAS
O3,2943500,855000,12,43,SUZUKI,LUNAS
O3,1714970,502000,35,47,SUZUKI,LUNAS
O3,2364550,622000,23,47,KAWASAKI,LUNAS
O4,6485800,476000,35,47,SUZUKI,LUNAS
O3,1522000,498000,35,54,KAWASAKI,LUNAS
O2,1122000,310000,36,54,HONDA,LUNAS
O3,1674000,394000,24,48,SUZUKI,LUNAS
O3,1457200,366000,36,41,SUZUKI,LUNAS
O2,1700000,496000,35,47,SUZUKI,LUNAS
O2,1375710,452000,36,26,SUZUKI,LUNAS
O2,2450000,543000,18,41,SUZUKI,LUNAS
O3,1548400,300000,36,40,SUZUKI,LUNAS
O3,1872000,385000,36,43,HONDA,LUNAS
O3,4827500,1538000,12,50,KAWASAKI,LUNAS
O2,2761750,1140000,11,48,SUZUKI,LUNAS
O1,1512500,650000,23,39,SUZUKI,LUNAS
O3,1696125,425000,36,49,SUZUKI,LUNAS
O2,1531500,484000,35,29,SUZUKI,LUNAS
O3,1708300,487000,24,50,SUZUKI,LUNAS
O2,1361730,393000,35,53,SUZUKI,LUNAS
O2,1425000,472000,24,30,KAWASAKI,LUNAS
O2,1272071,406000,35,32,SUZUKI,LUNAS
O3,1200600,384000,36,51,SUZUKI,LUNAS
O3,2800000,667000,12,42,SUZUKI,LUNAS
O3,2051700,620000,23,49,SUZUKI,LUNAS
O2,1300000,397000,35,38,SUZUKI,LUNAS
O3,1547680,393000,35,52,SUZUKI,LUNAS
O3,4506000,467000,36,53,SUZUKI,LUNAS
O3,1182800,393000,35,37,SUZUKI,TARIKAN
O2,1598500,402000,36,35,SUZUKI,LUNAS
O2,2102850,480000,35,48,SUZUKI,LUNAS
O1,1056800,507000,35,49,SUZUKI,LUNAS
O3,1138800,354000,36,46,SUZUKI,LUNAS
O2,1806850,580000,18,55,SUZUKI,LUNAS
O3,1374000,336000,36,36,SUZUKI,LUNAS
O1,1005900,748000,12,44,SUZUKI,LUNAS
O1,1103500,521000,24,41,SUZUKI,LUNAS
O3,1753750,396000,30,55,SUZUKI,LUNAS
O2,1234670,394000,36,38,SUZUKI,LUNAS
O3,1468000,462000,36,43,SUZUKI,LUNAS
O3,1880000,616000,17,50,SUZUKI,LUNAS
O3,1764500,383000,35,30,SUZUKI,LUNAS
O2,1182900,375000,35,34,SUZUKI,LUNAS
O3,1869000,396000,30,41,SUZUKI,LUNAS
O3,1836500,388000,35,45,SUZUKI,LUNAS
O3,1093400,375000,36,30,KAWASAKI,LUNAS
O3,1250000,375000,36,55,SUZUKI,LUNAS
O3,2761300,389000,36,38,SUZUKI,LUNAS
O1,1315600,388000,35,41,SUZUKI,LUNAS
O4,5252000,400000,36,26,SUZUKI,LUNAS
O3,1488750,496000,23,55,SUZUKI,TARIKAN
O2,1601860,494000,35,35,KAWASAKI,LUNAS
O3,1600000,501000,18,42,HONDA,LUNAS
O2,1232860,414000,36,28,SUZUKI,LUNAS
O2,1710500,475000,24,37,SUZUKI,LUNAS
O2,1244770,400000,24,46,SUZUKI,LUNAS
O3,1534000,433000,12,42,HONDA,LUNAS
O3,4510000,791000,12,40,HONDA,LUNAS
O3,1600400,331000,36,41,SUZUKI,LUNAS
O2,1024141,330000,36,35,SUZUKI,LUNAS
O1,1545452,485000,35,57,SUZUKI,LUNAS
O3,1014166,507000,35,56,SUZUKI,LUNAS
O2,1741102,388000,35,37,SUZUKI,LUNAS
O2,1111928,358000,36,33,SUZUKI,LUNAS
O3,2900000,507000,35,54,SUZUKI,LUNAS
O2,1924300,507000,35,54,SUZUKI,TARIKAN
O2,1444050,446000,24,42,SUZUKI,LUNAS
O2,1500000,502000,35,28,SUZUKI,LUNAS
O2,960042,411000,35,37,SUZUKI,LUNAS
O2,1234000,393000,35,26,SUZUKI,LUNAS
O3,3400000,880000,12,35,SUZUKI,LUNAS
O3,1324500,389000,36,26,SUZUKI,LUNAS
O3,1700000,561000,24,40,KAWASAKI,LUNAS
O3,2625000,412000,24,50,SUZUKI,LUNAS
O2,3952150,436000,30,33,SUZUKI,LUNAS
O3,1520000,363000,36,43,SUZUKI,LUNAS
O3,1720000,566000,24,63,SUZUKI,LUNAS
O3,1705500,390000,24,32,SUZUKI,LUNAS
O3,1060000,300000,36,35,SUZUKI,LUNAS
O3,1890000,389000,35,39,SUZUKI,TARIKAN
O3,2025000,501000,24,40,SUZUKI,LUNAS
O2,1248000,411000,35,34,SUZUKI,LUNAS
O2,1434250,489000,35,26,KAWASAKI,LUNAS
O2,766313,353000,36,38,SUZUKI,LUNAS
O3,1193300,380000,30,46,SUZUKI,LUNAS
O3,1072800,367000,36,41,SUZUKI,LUNAS
O3,1640000,498000,24,39,SUZUKI,LUNAS
O3,2159000,590000,24,56,HONDA,LUNAS
O3,1570000,507000,35,37,SUZUKI,TARIKAN
O3,1800000,300000,36,55,SUZUKI,LUNAS
O2,1780000,620000,23,29,KAWASAKI,LUNAS
O3,2716625,480000,35,38,SUZUKI,LUNAS
O2,2114250,648000,23,40,SUZUKI,LUNAS
O3,1183200,305000,36,31,SUZUKI,LUNAS
O3,2725600,684000,18,39,SUZUKI,LUNAS
O3,1491200,494000,35,30,KAWASAKI,LUNAS
O2,2000000,613000,23,45,SUZUKI,LUNAS
O2,5500000,388000,35,35,SUZUKI,LUNAS
O3,1882000,553000,29,44,SUZUKI,LUNAS
O3,2780000,389000,35,42,SUZUKI,LUNAS
O3,2040000,350000,36,50,SUZUKI,LUNAS
O3,1033875,296000,36,35,SUZUKI,LUNAS
O3,1593750,411000,35,39,SUZUKI,LUNAS
O2,1150000,331000,36,51,SUZUKI,LUNAS
O3,2462000,789000,17,58,KAWASAKI,LUNAS
O3,1212600,389000,35,57,SUZUKI,LUNAS
O3,1715440,458000,36,36,SUZUKI,LUNAS
O3,2070000,443000,36,48,HONDA,LUNAS
O3,1258600,348000,36,27,SUZUKI,LUNAS
O3,2001450,609000,12,43,SUZUKI,LUNAS
O3,1562400,453000,36,40,SUZUKI,LUNAS
O3,2200000,661000,23,38,SUZUKI,LUNAS
O3,1714000,297000,36,43,SUZUKI,LUNAS
O3,1268600,501000,35,41,SUZUKI,LUNAS
O3,1573805,391000,36,42,SUZUKI,LUNAS
O2,1179405,359000,36,28,SUZUKI,LUNAS
O3,1297750,389000,35,32,SUZUKI,LUNAS
O2,1191010,394000,35,38,SUZUKI,LUNAS
O2,895000,394000,35,43,SUZUKI,LUNAS
O2,1933000,625000,29,36,HONDA,LUNAS
O3,1389200,352000,36,51,SUZUKI,LUNAS
O2,1462700,320000,36,32,SUZUKI,LUNAS
O2,1258483,407000,35,32,SUZUKI,LUNAS
O3,1968300,403000,35,34,SUZUKI,LUNAS
O3,1479200,375000,36,60,KAWASAKI,LUNAS
O2,1343200,352000,24,40,SUZUKI,LUNAS
O1,997400,346000,36,61,SUZUKI,LUNAS
O3,1124000,318000,24,59,SUZUKI,LUNAS
O2,1234500,400000,36,35,SUZUKI,LUNAS
O2,1224666,397000,35,53,SUZUKI,LUNAS
O3,2050000,368000,36,46,SUZUKI,LUNAS
O2,4440150,407000,35,53,SUZUKI,LUNAS
O2,1479900,493000,36,35,SUZUKI,LUNAS
O3,1708000,386000,36,52,SUZUKI,LUNAS
O3,3853900,1132000,11,60,HONDA,LUNAS
O2,1200000,584000,35,51,HONDA,LUNAS
O2,1296780,259000,36,44,SUZUKI,LUNAS
O3,1361666,289000,36,49,SUZUKI,LUNAS
O3,2340000,448000,36,40,SUZUKI,LUNAS
O3,1985800,647000,17,42,SUZUKI,LUNAS
O2,2600000,294000,36,38,SUZUKI,LUNAS
O2,1357000,376000,30,42,SUZUKI,LUNAS
O1,1825800,501000,35,49,SUZUKI,LUNAS
O3,1315200,377000,36,43,SUZUKI,LUNAS
O2,1071790,355000,36,30,SUZUKI,LUNAS
O3,1719675,479000,36,51,SUZUKI,LUNAS
O3,1174000,350000,36,46,SUZUKI,LUNAS
O3,1200333,399000,35,34,SUZUKI,LUNAS
O3,1340000,298000,36,40,SUZUKI,LUNAS
O3,1824000,475000,35,44,SUZUKI,LUNAS
O3,1394000,475000,35,58,SUZUKI,LUNAS
O3,1247000,345000,36,45,SUZUKI,LUNAS
O3,945960,276000,36,45,SUZUKI,LUNAS
O2,1546000,476000,35,49,SUZUKI,LUNAS
O2,1200000,385000,35,46,SUZUKI,LUNAS
O3,1282800,440000,24,54,SUZUKI,LUNAS
O3,1422000,462000,35,51,SUZUKI,LUNAS
O3,1718300,501000,35,29,SUZUKI,LUNAS
O3,1865000,452000,24,44,SUZUKI,LUNAS
O2,842080,457000,36,26,SUZUKI,LUNAS
O3,1480000,377000,36,32,KAWASAKI,LUNAS
O1,1230000,233000,30,43,SUZUKI,LUNAS
O3,1517680,409000,36,43,SUZUKI,LUNAS
O3,2028080,608000,23,41,SUZUKI,LUNAS
O1,1453500,407000,35,50,SUZUKI,LUNAS
O3,2400000,538000,24,33,SUZUKI,LUNAS
O3,1310640,390000,35,33,SUZUKI,LUNAS
O3,1568000,457000,35,39,SUZUKI,LUNAS
O1,1711500,389000,35,49,SUZUKI,LUNAS
O3,3854000,479000,35,50,SUZUKI,LUNAS
O3,1764000,501000,35,45,SUZUKI,TARIKAN
O2,1229450,400000,36,29,SUZUKI,LUNAS
O2,1513350,501000,35,28,SUZUKI,LUNAS
O3,900000,489000,35,56,KAWASAKI,TARIKAN
O2,1330180,400000,24,30,HONDA,LUNAS
O3,1565833,399000,30,56,YAMAHA,LUNAS
O3,1600000,489000,35,44,KAWASAKI,LUNAS
O3,1760000,579000,24,43,SUZUKI,LUNAS
O3,2200400,760000,17,44,SUZUKI,LUNAS
O3,2550000,619000,23,49,SUZUKI,LUNAS
O1,1753600,550000,24,55,SUZUKI,LUNAS
O2,5427100,398000,36,43,SUZUKI,LUNAS
O2,1241000,346000,36,36,SUZUKI,LUNAS
O3,1186240,305000,24,58,SUZUKI,LUNAS
O2,1365000,386000,35,36,SUZUKI,LUNAS
O1,1715600,479000,35,61,SUZUKI,LUNAS
O2,992500,440000,30,37,SUZUKI,LUNAS
O3,2000000,556000,18,43,SUZUKI,LUNAS
O3,1392000,418000,36,51,SUZUKI,LUNAS
O2,1022042,504000,36,41,HONDA,LUNAS
O2,1200000,405000,36,30,SUZUKI,LUNAS
O3,1207040,374000,36,44,SUZUKI,LUNAS
O3,1321200,435000,36,27,SUZUKI,LUNAS
O3,1296000,342000,36,40,SUZUKI,LUNAS
O3,1687500,501000,35,34,SUZUKI,LUNAS
O2,1232022,383000,36,29,SUZUKI,LUNAS
O3,1530000,448000,36,48,SUZUKI,LUNAS
O3,2356000,753000,17,55,SUZUKI,LUNAS
O2,1240288,381000,36,39,SUZUKI,LUNAS
O2,1181581,359000,36,39,SUZUKI,LUNAS
O3,1628000,479000,35,56,SUZUKI,LUNAS
O3,1416000,469000,24,37,SUZUKI,LUNAS
O3,1794000,555000,24,30,SUZUKI,LUNAS
O3,1166000,345000,36,46,SUZUKI,LUNAS
O3,1323600,389000,35,39,SUZUKI,TARIKAN
O1,1212500,372000,36,60,SUZUKI,LUNAS
O3,1289166,406000,30,48,SUZUKI,LUNAS
O1,824600,391000,36,38,SUZUKI,LUNAS
O2,1225035,500000,35,54,SUZUKI,LUNAS
O2,1211004,342000,36,41,SUZUKI,LUNAS
O3,1712000,390000,35,44,SUZUKI,LUNAS
O3,1635000,428000,24,40,SUZUKI,LUNAS
O3,2700000,873000,11,39,SUZUKI,TARIKAN
O3,1268000,362000,30,50,SUZUKI,LUNAS
O1,1558400,377000,36,51,SUZUKI,LUNAS
O2,1966561,376000,35,45,SUZUKI,LUNAS
O2,1178276,361000,36,36,SUZUKI,LUNAS
O2,1387000,399000,35,37,SUZUKI,LUNAS
O3,1609600,502000,35,45,KAWASAKI,LUNAS
O1,1283300,388000,36,55,SUZUKI,LUNAS
O3,1409680,444000,36,54,SUZUKI,LUNAS
O3,1859520,622000,18,44,SUZUKI,LUNAS
O3,1917000,302000,36,42,SUZUKI,LUNAS
O3,1350750,440000,36,40,SUZUKI,LUNAS
O2,2673000,925000,11,60,SUZUKI,LUNAS
O3,1217200,346000,36,35,SUZUKI,LUNAS
O2,1320670,440000,36,27,SUZUKI,LUNAS
O3,1182000,394000,35,39,SUZUKI,LUNAS
O2,1502500,449000,36,45,SUZUKI,TARIKAN
O2,1473950,468000,35,52,SUZUKI,LUNAS
O3,1730400,399000,35,33,SUZUKI,LUNAS
O2,1294355,417000,24,40,SUZUKI,LUNAS
O3,2620000,693000,12,41,SUZUKI,LUNAS
O3,1520000,491000,24,40,SUZUKI,LUNAS
O3,916670,280000,36,49,SUZUKI,LUNAS
O2,1115713,369000,36,32,KAWASAKI,LUNAS
O3,4113330,386000,35,53,SUZUKI,LUNAS
O2,1408000,386000,35,32,SUZUKI,LUNAS
O3,1717200,323000,36,48,SUZUKI,TARIKAN
O3,1683200,474000,35,33,SUZUKI,LUNAS
O1,1604200,407000,35,47,SUZUKI,LUNAS
O2,1600000,479000,35,36,KAWASAKI,TARIKAN
O3,1660000,384000,36,50,SUZUKI,LUNAS
O2,1495575,458000,35,27,KAWASAKI,LUNAS
O3,1312600,402000,36,52,KAWASAKI,LUNAS
O2,1350000,457000,36,37,SUZUKI,LUNAS
O2,2024050,603000,24,50,SUZUKI,LUNAS
O2,3169750,519000,29,52,KAWASAKI,LUNAS
O1,1284300,448000,36,60,KAWASAKI,LUNAS
O2,723000,479000,35,53,SUZUKI,LUNAS
O3,2200000,500000,35,49,SUZUKI,LUNAS
O3,1400000,336000,30,51,SUZUKI,LUNAS
O3,1710675,546000,29,47,KAWASAKI,LUNAS
O3,1173400,385000,35,32,SUZUKI,LUNAS
O3,1381280,427000,24,28,SUZUKI,LUNAS
O2,1906050,500000,24,50,SUZUKI,LUNAS
O2,1179405,381000,36,28,SUZUKI,LUNAS
O1,1288200,377000,36,54,SUZUKI,LUNAS
O3,1645355,509000,30,37,SUZUKI,LUNAS
O3,1458300,392000,36,49,SUZUKI,LUNAS
O3,1702900,500000,35,53,SUZUKI,LUNAS
O3,1200700,407000,35,57,SUZUKI,LUNAS
O3,1600000,367000,36,52,KAWASAKI,LUNAS
O3,1519400,502000,35,40,KAWASAKI,LUNAS
O3,2169104,651000,18,45,SUZUKI,LUNAS
O2,1515000,500000,35,33,SUZUKI,LUNAS
O2,1490000,386000,35,66,SUZUKI,LUNAS
O3,1664000,380000,36,57,SUZUKI,LUNAS
O2,2392200,701000,30,30,HONDA,LUNAS
O1,1200000,407000,35,37,SUZUKI,LUNAS
O3,1410000,460000,30,34,SUZUKI,LUNAS
O3,1186500,342000,36,37,SUZUKI,LUNAS
O2,1550000,527000,23,37,SUZUKI,LUNAS
O3,1512400,479000,35,53,SUZUKI,LUNAS
O2,1188700,407000,35,50,SUZUKI,LUNAS
O2,1600000,500000,35,54,SUZUKI,LUNAS
O1,926400,342000,36,56,SUZUKI,LUNAS
O2,1215956,364000,36,26,SUZUKI,LUNAS
O3,1326000,383000,36,44,SUZUKI,LUNAS
O3,1609200,298000,36,43,SUZUKI,LUNAS
O3,1471680,373000,36,43,KAWASAKI,LUNAS
O3,1412500,440000,36,27,SUZUKI,LUNAS
O2,1132100,495000,24,43,KAWASAKI,LUNAS
O3,1625000,435000,36,39,SUZUKI,LUNAS
O2,1234400,411000,30,31,SUZUKI,LUNAS
O2,1383576,377000,35,29,SUZUKI,LUNAS
O3,1264000,360000,36,44,SUZUKI,LUNAS
O2,1394124,407000,35,36,SUZUKI,LUNAS
O3,1535000,527000,23,36,SUZUKI,LUNAS
O2,1456000,500000,35,42,SUZUKI,LUNAS
O2,1275449,353000,36,36,SUZUKI,LUNAS
O2,1340000,435000,36,31,SUZUKI,LUNAS
O2,1025000,386000,35,48,SUZUKI,LUNAS
O3,1590000,298000,36,44,SUZUKI,LUNAS
O3,1288800,377000,36,43,SUZUKI,LUNAS
O1,1688500,500000,35,59,SUZUKI,LUNAS
O2,1501705,509000,23,30,SUZUKI,LUNAS
O3,1442080,474000,35,40,SUZUKI,LUNAS
O3,1800000,435000,36,49,SUZUKI,LUNAS
O3,2060000,405000,36,44,SUZUKI,LUNAS
O3,1586000,381000,36,50,SUZUKI,LUNAS
O2,5950000,993000,12,34,SUZUKI,LUNAS
O3,2000000,566000,24,55,KAWASAKI,LUNAS
O3,1440720,434000,36,33,HONDA,LUNAS
O3,1803200,473000,36,52,SUZUKI,LUNAS
O1,984500,473000,35,55,KAWASAKI,LUNAS
O3,1320000,414000,36,45,SUZUKI,LUNAS
O3,1554000,500000,35,29,SUZUKI,LUNAS
O3,1246000,394000,35,50,SUZUKI,LUNAS
O3,2259500,500000,35,41,SUZUKI,LUNAS
O3,1413340,407000,35,53,SUZUKI,LUNAS
O3,1700000,500000,35,44,SUZUKI,LUNAS
O3,1550000,381000,36,45,SUZUKI,LUNAS
O3,1782000,455000,29,35,SUZUKI,LUNAS
O2,1491000,396000,36,26,SUZUKI,LUNAS
O1,1604200,407000,35,49,SUZUKI,LUNAS
O3,1462000,492000,35,42,SUZUKI,LUNAS
O3,1186000,377000,36,39,SUZUKI,LUNAS
O3,1326000,427000,36,47,SUZUKI,LUNAS
O2,1995060,573000,24,50,SUZUKI,LUNAS
O1,1453500,396000,36,46,SUZUKI,LUNAS
O3,1550000,512000,35,37,HONDA,TARIKAN
O3,1582400,489000,35,37,KAWASAKI,LUNAS
O2,773450,386000,35,32,SUZUKI,LUNAS
O1,1173350,500000,35,45,SUZUKI,LUNAS
O2,1600000,394000,35,40,SUZUKI,TARIKAN
O3,1488333,329000,36,34,SUZUKI,LUNAS
O3,1301280,360000,36,61,SUZUKI,LUNAS
O3,3560000,1054000,11,49,SUZUKI,LUNAS
O3,1976850,648000,23,33,SUZUKI,LUNAS
O1,1428000,305000,36,48,SUZUKI,LUNAS
O3,1401280,390000,36,49,KAWASAKI,LUNAS
O1,2072200,629000,18,58,SUZUKI,LUNAS
O3,1678320,561000,24,43,SUZUKI,LUNAS
O2,1300000,342000,36,34,SUZUKI,LUNAS
O3,4674880,500000,35,42,SUZUKI,TARIKAN
O2,1350000,455000,29,30,SUZUKI,LUNAS
O3,1300000,457000,36,44,SUZUKI,LUNAS
O2,950000,373000,36,31,SUZUKI,LUNAS
O3,1464000,373000,36,47,SUZUKI,LUNAS
O3,1400000,351000,36,52,SUZUKI,LUNAS
O2,1215956,302000,36,26,SUZUKI,LUNAS
O3,1698000,401000,36,55,SUZUKI,TARIKAN
O3,1573600,431000,36,48,SUZUKI,LUNAS
O3,1508650,411000,36,58,KAWASAKI,LUNAS
O3,1218400,367000,36,26,KAWASAKI,LUNAS
O3,2278400,750000,12,49,SUZUKI,LUNAS
O2,1512709,523000,36,51,HONDA,LUNAS
O3,1256000,347000,36,55,SUZUKI,LUNAS
O3,1315000,407000,35,33,SUZUKI,LUNAS
O3,1617600,379000,36,42,SUZUKI,LUNAS
O3,1562000,355000,36,37,SUZUKI,LUNAS
O3,1206400,327000,30,59,SUZUKI,LUNAS
O3,1563750,403000,35,37,SUZUKI,LUNAS
O3,1079667,285000,30,45,SUZUKI,LUNAS
O3,2086000,648000,23,40,SUZUKI,LUNAS
O2,1401510,411000,30,40,SUZUKI,LUNAS
O3,2804785,956000,12,53,SUZUKI,LUNAS
O2,1102250,370000,36,27,SUZUKI,LUNAS
O3,1268280,390000,35,53,SUZUKI,LUNAS
O2,1189405,596000,24,29,SUZUKI,LUNAS
O3,1140000,285000,36,36,SUZUKI,LUNAS
O2,1468480,479000,35,57,SUZUKI,LUNAS
O3,1750000,407000,35,42,SUZUKI,LUNAS
O3,1980000,407000,35,48,SUZUKI,LUNAS
O3,1500000,451000,35,43,KAWASAKI,TARIKAN
O2,1255280,394000,35,38,SUZUKI,LUNAS
O2,1205000,373000,36,33,SUZUKI,TARIKAN
O3,1850000,423000,36,50,SUZUKI,LUNAS
O3,2109600,473000,35,42,KAWASAKI,LUNAS
O3,1408880,473000,35,54,KAWASAKI,LUNAS
O3,1795700,464000,35,61,KAWASAKI,LUNAS
O3,1076667,307000,36,39,SUZUKI,LUNAS
O3,2004320,648000,23,39,SUZUKI,TARIKAN
O3,1480000,418000,36,36,SUZUKI,LUNAS
O3,1522400,407000,35,41,SUZUKI,LUNAS
O2,967200,399000,36,35,KAWASAKI,LUNAS
O2,1332900,388000,36,38,SUZUKI,LUNAS
O3,1572000,473000,35,55,KAWASAKI,LUNAS
O2,911000,399000,35,31,SUZUKI,LUNAS
O2,1310000,360000,36,43,SUZUKI,LUNAS
O2,5217000,648000,23,49,SUZUKI,LUNAS
O1,4964800,489000,35,40,KAWASAKI,LUNAS
O3,1649040,457000,36,27,SUZUKI,LUNAS
O3,1828800,602000,24,43,KAWASAKI,LUNAS
O2,1600000,446000,35,41,KAWASAKI,LUNAS
O3,1783200,473000,35,44,KAWASAKI,LUNAS
O3,1580000,502000,35,45,KAWASAKI,TARIKAN
